source,layer,part,head,apc,baseline_mean,p_value,ok,total,phi,var2,var3
pac_o_proj_l0.json,0,o_proj,0,0.6580361504640938,0.35601205015469795,0.125,,,,0.047302389628581375,0.06622327613943123
pac_o_proj_l0.json,0,o_proj,1,0.18563751831949193,0.35601205015469795,0.81,,,,0.02568924358413179,0.03713049721580171
pac_o_proj_l0.json,0,o_proj,10,0.1875915974596971,0.35601205015469795,0.75,,,,0.03979167280626594,0.058466753040637746
pac_o_proj_l0.json,0,o_proj,11,0.5202735710796287,0.35601205015469795,0.345,,,,0.05436800045922197,0.07799853455902325
pac_o_proj_l0.json,0,o_proj,12,0.6508711936166748,0.35601205015469795,0.16,,,,0.02427197018805768,0.03605749551712226
pac_o_proj_l0.json,0,o_proj,13,0.1875915974596971,0.35601205015469795,0.75,,,,0.05850706148787233,0.08132342904099736
pac_o_proj_l0.json,0,o_proj,14,0.6515225533300766,0.35601205015469795,0.16,,,,0.05641620737476781,0.06900746404036828
pac_o_proj_l0.json,0,o_proj,15,0.35368832437713726,0.35601205015469795,0.375,,,,0.05448700552547508,0.06655612036333618
pac_o_proj_l0.json,0,o_proj,2,0.5953427780491777,0.35601205015469795,0.26,,,,0.0505283401263779,0.07367197677896689
pac_o_proj_l0.json,0,o_proj,3,0.16463116756228627,0.35601205015469795,0.915,,,,0.03328823528288649,0.04795427149569319
pac_o_proj_l0.json,0,o_proj,4,0.6601530695326494,0.35601205015469795,0.11,,,,0.03821080402129944,0.0530722795714574
pac_o_proj_l0.json,0,o_proj,5,0.19329099495196223,0.35601205015469795,0.645,,,,0.0245700314875633,0.035602887585091086
pac_o_proj_l0.json,0,o_proj,6,0.5819899039244423,0.35601205015469795,0.275,,,,0.1170105748599604,0.15808210358744487
pac_o_proj_l0.json,0,o_proj,7,0.18563751831949193,0.35601205015469795,0.81,,,,0.025290646992924052,0.03665077017597199
pac_o_proj_l0.json,0,o_proj,8,0.19638495359062041,0.35601205015469795,0.6,,,,0.07521845103155501,0.11013926193582074
pac_o_proj_l0.json,0,o_proj,9,0.6603159094609998,0.35601205015469795,0.105,,,,0.025179863062551818,0.03648586619668228
