layer,part,head,coverage,mean_deg,var2,var3,dpn_s1,dpn_s2
0,k_proj,,1.0,5.433601223767366,,,0.014099623076617718,0.999457836151123
0,mlp_down,,1.0,5.540531739601692,,,0.012396334670484066,0.9998738765716553
0,mlp_gate,,1.0,5.56075419952548,,,0.012000350281596184,0.999411404132843
0,mlp_up,,1.0,5.572833330774396,,,0.006739538162946701,0.9999411106109619
0,o_proj,,1.0,5.450029995071294,,,0.008798032067716122,0.9998418092727661
0,q_proj,,1.0,5.4801779050967605,,,0.004364614840596914,0.9997866153717041
0,v_proj,,1.0,5.564434274079606,,,0.012602589093148708,0.9995648860931396
6,k_proj,,1.0,5.46991200813489,,,0.021576588973402977,0.9994902014732361
6,mlp_down,,1.0,5.511343160032878,,,0.001724588219076395,0.999750018119812
6,mlp_gate,,1.0,5.598044374324818,,,0.009614496491849422,0.9998417496681213
6,mlp_up,,1.0,5.563826778961471,,,0.007629669737070799,0.9998325109481812
6,o_proj,,1.0,5.464883363762676,,,0.01371008064597845,0.9998832941055298
6,q_proj,,1.0,5.587621986082292,,,0.024733059108257294,0.9996758699417114
6,v_proj,,1.0,5.500397955835372,,,0.016890710219740868,0.9997802376747131
11,k_proj,,1.0,5.4113070989210605,,,0.02094799466431141,0.9996708631515503
11,mlp_down,,1.0,5.449188338820998,,,0.0313112810254097,0.9996190071105957
11,mlp_gate,,1.0,5.60872063025427,,,0.003691036021336913,0.9998672008514404
11,mlp_up,,1.0,5.605236727670784,,,0.008821257390081882,0.9999382495880127
11,o_proj,,1.0,5.590714726551223,,,0.0035614091902971268,0.9995596408843994
11,q_proj,,1.0,5.525375507048186,,,0.019502822309732437,0.999595582485199
11,v_proj,,1.0,5.55805175032482,,,0.010204353369772434,0.9996582269668579
